GISJOIN,rmse,changepoint_prior_scale,seasonality_prior_scale
G0400130,316.3039434010886,0.5,0.1
G0400190,149.52784059460504,0.5,1.0
G0400270,64.19281326275463,0.5,10.0
G0500590,7.868172702446241,0.5,0.1
G0500690,22.251711647160505,0.5,0.01
G0501030,3.284563759126592,0.5,0.1
G0600370,711.9078978906454,0.1,10.0
G0600590,665.5668874229981,0.5,0.1
G0600650,217.79810724772184,0.1,1.0
G0600710,491.94888664098465,0.1,0.1
G0600730,1154.61474653931,0.5,10.0
G0800050,39.69938559357217,0.1,10.0
G0800150,1.969874652305649,0.5,0.01
G0900090,201.15425573473314,0.5,1.0
G1200090,75.37865099773346,0.5,10.0
G1200110,449.64371688250213,0.5,10.0
G1200170,41.04271241814589,0.5,10.0
G1200830,87.51355340233476,0.5,10.0
G1201050,93.45859201702832,0.5,0.1
G1301350,20.47728076964325,0.5,0.01
G1700310,919.0506360480141,0.01,0.1
G1700430,174.3024734636542,0.01,0.1
G1701110,56.54114220754974,0.1,0.01
G1800970,81.21018687408937,0.1,1.0
G1900610,38.010885786242696,0.01,0.1
G1901010,2.118945894043582,0.1,0.01
G2405100,31.596957062638566,0.1,0.1
G2601210,142.02652205882228,0.5,0.1
G2700810,6.3302127325620114,0.5,0.1
G2900950,35.32854889566186,0.1,0.01
G3000130,18.00567609174179,0.001,10.0
G3200030,201.56949105514715,0.5,10.0
G3300150,24.291222597141775,0.5,10.0
G3400030,86.57550627599748,0.5,10.0
G3500010,48.47858766956048,0.5,0.1
G3600510,0.4783617977553248,0.1,10.0
G3600590,148.31045998531573,0.5,0.1
G3600910,17.84360819502599,0.1,10.0
G3900170,166.67889816158961,0.5,0.1
G3900350,649.255026985088,0.5,1.0
G3900410,69.51915341841494,0.5,0.01
G4001090,53.94917454041878,0.5,0.1
G4200030,204.8650524829492,0.5,1.0
G4201010,388.2653906965581,0.5,0.1
G4600990,117.73865713699375,0.5,0.1
G4800270,51.60909367232097,0.1,10.0
G4800290,331.0911518720875,0.5,0.01
G4800850,126.67574832397796,0.5,0.1
G4801090,4.192470347594098,0.5,10.0
G4801130,971.9974815290213,0.5,0.01
G4801570,148.63773898300505,0.5,10.0
G4802010,575.6233054560781,0.5,0.01
G4802150,213.74462150875476,0.001,0.1
G4900350,619.4981407328494,0.5,1.0
G5100090,2.8055561071456014,0.5,0.01
G5400550,7.079488116614818,0.1,1.0
