GISJOIN,rmse,changepoint_prior_scale,seasonality_prior_scale
G5500290,690.6921217208335,0.5,0.01
G1800350,112.5212894342684,0.1,0.1
G5300570,920.1598120046528,0.01,0.01
G3101070,1155.996044302948,0.001,10.0
G0201300,399.33299389578644,0.5,1.0
G0600430,338.33948390266187,0.001,0.01
G3601050,1642.6991147334888,0.001,10.0
G2100730,182.52304853031623,0.01,0.1
G5300770,732.5143813380157,0.001,10.0
G4803370,222.73231327280652,0.001,1.0
G3100090,907.4864787248328,0.001,0.1
G0500330,333.0856610697524,0.001,10.0
G4700910,358.40290447713045,0.1,1.0
G4700290,589.8897405331242,0.01,0.1
G0600790,382.3392343899011,0.001,0.01
G0201050,272.4432193208511,0.01,10.0
G3000530,709.0002724226564,0.001,10.0
G2100170,302.5579020835142,0.01,0.01
G5300490,944.9597495028764,0.001,0.01
G2801090,1667.959219347377,0.001,1.0
G0601030,887.9310214772999,0.001,0.01
G4100410,1003.0154773193304,0.001,0.1
G4804110,457.71119604503815,0.001,0.1
G1200150,372.6330079411746,0.001,0.01
G2100970,253.7947722907807,0.01,1.0
G5300590,786.5413497333523,0.001,0.1
G2102150,527.9942505415856,0.01,1.0
G3800470,1161.520466236907,0.5,10.0
G4804070,1051.1149951757175,0.5,0.1
G1600790,506.90082687827993,0.001,1.0
G1200550,306.43393429702,0.001,0.01
G3101390,1056.2217062307534,0.001,10.0
G1300890,710.1732897763176,0.01,0.01
G4701270,792.9495136396827,0.001,1.0
G2200810,1109.776352503074,0.001,0.1
G5300550,853.5549692692317,0.01,1.0
G1301610,671.0325540320573,0.01,10.0
G2100510,580.4586654212865,0.01,0.1
G4200990,1485.4887573604333,0.5,10.0
G5107700,368.2720340904267,0.001,1.0
G2000610,502.75936176573396,0.001,0.1
G0201980,308.0429834371641,0.01,1.0
G4100150,1083.994752932088,0.5,10.0
G5300390,653.0154552168294,0.001,1.0
G3000050,351.7292796598313,0.001,1.0
G3801010,1038.084220295002,0.5,0.1
G1201290,795.597051308245,0.001,10.0
G0500170,1525.8068218299973,0.001,10.0
G0600750,474.5394292086387,0.01,1.0
G0501170,1064.8545751975919,0.001,0.01
G0500990,995.7673964928134,0.001,10.0
G4701070,889.366244430727,0.01,10.0
G5101010,1453.7451681855982,0.5,10.0
G3700970,458.80045665836644,0.5,0.01
G1301930,254.21707432493147,0.001,1.0
G3701510,542.6088132860622,0.5,0.1
