GISJOIN,rmse,changepoint_prior_scale,seasonality_prior_scale
G0100790,3.606268319122549,0.1,0.01
G0400130,316.3039434010886,0.5,0.1
G0500330,15.871630539540334,0.1,0.01
G0500890,3.3838779895416247,0.001,0.1
G0600010,172.98281299838396,0.5,1.0
G0600370,711.9078978906454,0.1,10.0
G0600590,665.5668874229981,0.5,0.1
G0600650,217.79810724772184,0.1,1.0
G0600730,1154.61474653931,0.5,10.0
G0800410,29.69347028662703,0.1,0.01
G0800690,37.93900245551531,0.1,0.1
G1200570,284.38443164890214,0.5,1.0
G1200710,114.21466088212767,0.5,0.1
G1200860,1196.5655181020238,0.5,1.0
G1200990,371.85857274239777,0.5,1.0
G1300210,14.76709843315973,0.5,0.01
G1301170,9.117050573297771,0.5,0.1
G1600750,16.354557478885457,0.5,1.0
G1600810,2.0157480197291533,0.5,10.0
G1700270,20.11809732811162,0.001,1.0
G1800950,20.072875701616105,0.1,0.01
G1801030,0.24322628293580797,0.1,0.1
G1901670,10.937583207291896,0.5,0.1
G2100670,157.27395509501517,0.5,0.1
G2101110,41.75339026097891,0.1,10.0
G2700270,1.1558735324355147,0.5,10.0
G3000310,77.80416765052551,0.001,1.0
G3400070,43.5943167831879,0.5,0.1
G3400290,78.56372539454478,0.5,10.0
G3600290,212.28428871111024,0.5,0.1
G3600590,148.31045998531573,0.5,0.1
G3601190,159.6855110287358,0.5,0.1
G3701190,145.37667268996432,0.5,10.0
G3900350,649.255026985088,0.5,1.0
G3900490,377.426929038919,0.5,1.0
G3901510,200.96385131975904,0.5,10.0
G4001090,53.94917454041878,0.5,0.1
G4200710,112.09219961217798,0.5,0.1
G4200910,74.85909001810414,0.1,0.01
G4201010,388.2653906965581,0.5,0.1
G4500310,11.64427005641985,0.5,0.1
G4500450,27.099648385375357,0.5,1.0
G4500790,75.83075624798592,0.5,0.01
G4600910,0.8748714947745844,0.5,0.01
G4701710,2.071027796348514,0.1,10.0
G4800270,51.60909367232097,0.1,10.0
G4800290,331.0911518720875,0.5,0.01
G4801570,148.63773898300505,0.5,10.0
G4802010,575.6233054560781,0.5,0.01
G4803750,70.80365475888506,0.01,0.01
G4804390,784.2522527533837,0.5,0.01
G4900350,619.4981407328494,0.5,1.0
G4900490,445.97427569007044,0.5,0.1
G5300050,55.70296620194845,0.5,0.01
G5300350,23.61047204509675,0.5,1.0
G5500090,126.85638191498599,0.001,0.1
